company_name,high,low,last_price,prev_close,change,percent_gain
Eicher Motors,"2,640.00","2,551.00","2,636.00","2,521.85",114.15,4.53
M&M,874.80,853.00,872.35,849.00,23.35,2.75
Bajaj Auto,"3,764.90","3,718.50","3,761.95","3,698.40",63.55,1.72
ITC,226.80,224.00,226.25,222.45,3.8,1.71
IOC,135.00,133.55,134.45,132.55,1.9,1.43
BPCL,420.25,418.10,420.00,414.90,5.1,1.23
Hero Motocorp,"2,677.00","2,650.00","2,673.80","2,641.45",32.35,1.22
IndusInd Bank,"1,195.00","1,185.00","1,190.85","1,177.95",12.9,1.1
Divis Labs,"5,225.00","5,170.10","5,196.00","5,140.15",55.85,1.09
Tata Motors,493.55,488.00,490.15,484.90,5.25,1.08
Larsen,"1,920.85","1,900.00","1,909.00","1,889.50",19.5,1.03
Sun Pharma,797.00,788.50,795.00,787.95,7.05,0.89
HDFC Bank,"1,597.85","1,590.10","1,594.40","1,581.45",12.95,0.82
Kotak Mahindra,"2,062.00","2,039.00","2,054.25","2,037.55",16.7,0.82
SBI,535.90,530.75,531.90,527.65,4.25,0.81
Nestle,"18,949.00","18,811.90","18,884.00","18,737.15",146.85,0.78
Adani Ports,716.45,713.00,714.00,709.20,4.8,0.68
HDFC Life,699.90,695.00,696.80,692.30,4.5,0.65
Bajaj Finserv,"17,750.00","17,500.00","17,621.10","17,509.45",111.65,0.64
HCL Tech,"1,187.15","1,178.00","1,183.60","1,176.35",7.25,0.62
Titan Company,"2,444.80","2,422.00","2,432.90","2,417.95",14.95,0.62
Reliance,"2,500.00","2,490.00","2,497.75","2,483.60",14.15,0.57
Power Grid Corp,185.85,184.25,184.95,183.95,1,0.54
UPL,745.00,738.00,740.80,737.05,3.75,0.51
Coal India,171.40,169.75,170.60,169.75,0.85,0.5
Tech Mahindra,"1,515.00","1,501.00","1,506.00","1,498.55",7.45,0.5
HUL,"2,430.00","2,420.00","2,423.00","2,411.35",11.65,0.48
TCS,"3,513.25","3,505.00","3,508.00","3,492.25",15.75,0.45
SBI Life Insura,"1,189.95","1,172.55","1,183.95","1,178.80",5.15,0.44
Infosys,"1,717.00","1,708.50","1,709.85","1,702.50",7.35,0.43
Wipro,657.65,655.00,655.25,652.50,2.75,0.42
NTPC,138.30,137.05,137.30,136.75,0.55,0.4
Britannia,"3,658.00","3,639.35","3,643.85","3,629.85",14,0.39
Bharti Airtel,704.80,699.20,701.85,699.10,2.75,0.39
Grasim,"1,800.00","1,785.55","1,791.80","1,785.55",6.25,0.35
Shree Cements,"29,219.70","28,980.55","29,079.95","28,980.55",99.4,0.34
ONGC,152.85,151.70,152.45,152.00,0.45,0.3
Axis Bank,757.05,751.40,752.80,750.60,2.2,0.29
Bajaj Finance,"7,569.00","7,521.05","7,531.80","7,516.25",15.55,0.21
Maruti Suzuki,"7,819.95","7,735.50","7,749.00","7,734.25",14.75,0.19
HDFC,"2,909.00","2,898.05","2,899.90","2,895.90",4,0.14
TATA Cons. Prod,834.60,826.55,827.95,826.90,1.05,0.13
Tata Steel,"1,335.00","1,324.50","1,326.55","1,326.05",0.5,0.04
Dr Reddys Labs,"4,788.65","4,771.35","4,772.95","4,771.65",1.3,0.03
